activity_code,activity_label,activity_main_code,activity_main_label,activity_display
241,جمع‌آوری هیزم و سایر فرآورده‌های طبیعی مورد استفاده به‌عنوان سوخت، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,241 — جمع‌آوری هیزم و سایر فرآورده‌های طبیعی مورد استفاده به‌عنوان سوخت، برای استفاده نهایی خود
242,تهیه آب از منابع طبیعی و سایر منابع، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,242 — تهیه آب از منابع طبیعی و سایر منابع، برای استفاده نهایی خود
250,سفر، جابجایی، حمل و نقل یا همراهی کالاها و افراد، مرتبط با خودمصرفی تولید کالاها,2,تولید کالاها، برای استفاده نهایی خود,250 — سفر، جابجایی، حمل و نقل یا همراهی کالاها و افراد، مرتبط با خودمصرفی تولید کالاها
311,آماده‌سازی وعده‌های غذایی/ میان‌وعده‌ها، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,311 — آماده‌سازی وعده‌های غذایی/ میان‌وعده‌ها، بدون مزد برای اعضای خانوار و خانواده
312,ارائه وعده‌های غذایی/ میان‌وعده‌ها، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,312 — ارائه وعده‌های غذایی/ میان‌وعده‌ها، بدون مزد برای اعضای خانوار و خانواده
313,تمیز کردن پس از آماده‌سازی غذا/ وعده‌های غذایی/ میان‌وعده‌ها، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,313 — تمیز کردن پس از آماده‌سازی غذا/ وعده‌های غذایی/ میان‌وعده‌ها، بدون مزد برای اعضای خانوار و خانواده
314,ذخیره کردن، مرتب کردن و نگهداری مواد خوراکی، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,314 — ذخیره کردن، مرتب کردن و نگهداری مواد خوراکی، بدون مزد برای اعضای خانوار و خانواده
319,سایر فعالیت‌های مرتبط با مدیریت و تهیه غذا و وعده‌های غذایی، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,319 — سایر فعالیت‌های مرتبط با مدیریت و تهیه غذا و وعده‌های غذایی، بدون مزد برای اعضای خانوار و خانواده
321,تمیز کردن داخل خانه، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,321 — تمیز کردن داخل خانه، بدون مزد برای اعضای خانوار و خانواده
322,تمیز کردن بیرون خانه، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,322 — تمیز کردن بیرون خانه، بدون مزد برای اعضای خانوار و خانواده
323,بازیافت و دفع پسماند (زباله)، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,323 — بازیافت و دفع پسماند (زباله)، بدون مزد برای اعضای خانوار و خانواده
324,نگهداری از گیاهان در فضای داخل خانه/ فضای خارج از خانه، پرچین‌ها، باغچه، حیاط، چشم‌انداز (منظره) و غیره، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,324 — نگهداری از گیاهان در فضای داخل خانه/ فضای خارج از خانه، پرچین‌ها، باغچه، حیاط، چشم‌انداز (منظره) و غیره، بدون مزد برای اعضای خانوار و خانواده
325,مراقبت از کوره، دیگ بخار و شومینه، برای گرمایش و تأمین آب، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,325 — مراقبت از کوره، دیگ بخار و شومینه، برای گرمایش و تأمین آب، بدون مزد برای اعضای خانوار و خانواده
329,سایر فعالیت‌های مرتبط با تمیز کردن و نگهداری محل سکونت و محیط اطراف، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,329 — سایر فعالیت‌های مرتبط با تمیز کردن و نگهداری محل سکونت و محیط اطراف، بدون مزد برای اعضای خانوار و خانواده
331,بهسازی، نگهداری و مرمت محل سکونت شخصی توسط خود، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,331 — بهسازی، نگهداری و مرمت محل سکونت شخصی توسط خود، بدون مزد برای اعضای خانوار و خانواده
